file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,131,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,0
style.css,132,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,8
style.css,133,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,13
style.css,134,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,27
style.css,135,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,16
style.css,136,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,0
style.css,137,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,0
style.css,138,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,11
style.css,139,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,9
style.css,140,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,0
style.css,141,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,0
style.css,142,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,10
style.css,143,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,13
style.css,144,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,22
style.css,145,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,19
style.css,146,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,25
style.css,147,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,0
style.css,148,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,0
style.css,149,css,ff69e4f4,Michael Yang,2025-04-18,14:14:32,-07:00,2025-04-18T14:14:32-07:00,0,19
style.css,150,css,00000000,Not Committed Yet,2025-05-08,15:06:11,-07:00,2025-05-08T15:06:11-07:00,0,18
style.css,151,css,00000000,Not Committed Yet,2025-05-08,15:06:11,-07:00,2025-05-08T15:06:11-07:00,0,19
style.css,152,css,ff69e4f4,Michael Yang,2025-04-18,14:14:32,-07:00,2025-04-18T14:14:32-07:00,0,11
style.css,153,css,ff69e4f4,Michael Yang,2025-04-18,14:14:32,-07:00,2025-04-18T14:14:32-07:00,0,20
style.css,154,css,00000000,Not Committed Yet,2025-05-08,15:06:11,-07:00,2025-05-08T15:06:11-07:00,0,18
style.css,155,css,00000000,Not Committed Yet,2025-05-08,15:06:11,-07:00,2025-05-08T15:06:11-07:00,0,20
style.css,156,css,ff69e4f4,Michael Yang,2025-04-18,14:14:32,-07:00,2025-04-18T14:14:32-07:00,0,0
style.css,157,css,ff69e4f4,Michael Yang,2025-04-18,14:14:32,-07:00,2025-04-18T14:14:32-07:00,0,0
style.css,158,css,a24e07f6,Michael Yang,2025-04-24,21:22:04,-07:00,2025-04-24T21:22:04-07:00,0,15
style.css,159,css,a24e07f6,Michael Yang,2025-04-24,21:22:04,-07:00,2025-04-24T21:22:04-07:00,0,3
style.css,160,css,a24e07f6,Michael Yang,2025-04-24,21:22:04,-07:00,2025-04-24T21:22:04-07:00,0,13
style.css,161,css,a24e07f6,Michael Yang,2025-04-24,21:22:04,-07:00,2025-04-24T21:22:04-07:00,0,38
style.css,162,css,a24e07f6,Michael Yang,2025-04-24,21:22:04,-07:00,2025-04-24T21:22:04-07:00,0,20
style.css,163,css,a24e07f6,Michael Yang,2025-04-24,21:22:04,-07:00,2025-04-24T21:22:04-07:00,0,0
style.css,164,css,a24e07f6,Michael Yang,2025-04-24,21:22:04,-07:00,2025-04-24T21:22:04-07:00,0,0
style.css,165,css,a24e07f6,Michael Yang,2025-04-24,21:22:04,-07:00,2025-04-24T21:22:04-07:00,0,3
style.css,166,css,a24e07f6,Michael Yang,2025-04-24,21:22:04,-07:00,2025-04-24T21:22:04-07:00,0,11
style.css,167,css,a24e07f6,Michael Yang,2025-04-24,21:22:04,-07:00,2025-04-24T21:22:04-07:00,0,0
style.css,168,css,a24e07f6,Michael Yang,2025-04-24,21:22:04,-07:00,2025-04-24T21:22:04-07:00,0,0
style.css,169,css,a24e07f6,Michael Yang,2025-04-24,21:22:04,-07:00,2025-04-24T21:22:04-07:00,0,3
style.css,170,css,a24e07f6,Michael Yang,2025-04-24,21:22:04,-07:00,2025-04-24T21:22:04-07:00,0,11
style.css,171,css,a24e07f6,Michael Yang,2025-04-24,21:22:04,-07:00,2025-04-24T21:22:04-07:00,0,0
style.css,172,css,ed4e67f9,Michael Yang,2025-05-02,23:22:20,-07:00,2025-05-02T23:22:20-07:00,0,0
style.css,173,css,ed4e67f9,Michael Yang,2025-05-02,23:22:20,-07:00,2025-05-02T23:22:20-07:00,0,0
style.css,174,css,ed4e67f9,Michael Yang,2025-05-02,23:22:20,-07:00,2025-05-02T23:22:20-07:00,0,9
style.css,175,css,ed4e67f9,Michael Yang,2025-05-02,23:22:20,-07:00,2025-05-02T23:22:20-07:00,0,24
style.css,176,css,ed4e67f9,Michael Yang,2025-05-02,23:22:20,-07:00,2025-05-02T23:22:20-07:00,0,35
style.css,177,css,ed4e67f9,Michael Yang,2025-05-02,23:22:20,-07:00,2025-05-02T23:22:20-07:00,0,17
style.css,178,css,ed4e67f9,Michael Yang,2025-05-02,23:22:20,-07:00,2025-05-02T23:22:20-07:00,0,0
style.css,179,css,ed4e67f9,Michael Yang,2025-05-02,23:22:20,-07:00,2025-05-02T23:22:20-07:00,0,0
style.css,180,css,ed4e67f9,Michael Yang,2025-05-02,23:22:20,-07:00,2025-05-02T23:22:20-07:00,0,15
style.css,181,css,ed4e67f9,Michael Yang,2025-05-02,23:22:20,-07:00,2025-05-02T23:22:20-07:00,0,15
style.css,182,css,ed4e67f9,Michael Yang,2025-05-02,23:22:20,-07:00,2025-05-02T23:22:20-07:00,0,17
style.css,183,css,ed4e67f9,Michael Yang,2025-05-02,23:22:20,-07:00,2025-05-02T23:22:20-07:00,0,0
style.css,184,css,ed4e67f9,Michael Yang,2025-05-02,23:22:20,-07:00,2025-05-02T23:22:20-07:00,0,17
style.css,185,css,ed4e67f9,Michael Yang,2025-05-02,23:22:20,-07:00,2025-05-02T23:22:20-07:00,0,0
